FREQUENCY,GRID_ID,SPP
11,A-13,BA
6,A-13,EL
2,A-13,WA
1,A-13,WP
1,A-14,BA
1,A-14,BI
4,A-14,RP
2,A-14,WP
2,AA-10,BE
1,AA-10,LI
6,AA-10,SU
3,AA-11,BE
1,AA-11,LI
6,AA-11,SU
2,AA-12,BE
1,AA-12,BI
1,AA-12,CH
1,AA-12,LI
3,AA-12,SU
4,AA-9,BE
2,AA-9,HE
3,AA-9,SU
5,AB-10,BE
5,AB-10,SU
6,AB-11,BE
1,AB-11,HE
1,AB-11,PI
4,AB-11,SU
11,AB-12,BE
2,AB-12,HE
2,AB-9,BE
1,AB-9,BI
3,AB-9,HE
4,AB-9,SU
1,AB-9,TA
4,AC-10,BE
3,AC-10,HE
5,AC-10,SU
6,AC-9,BE
1,AC-9,EL
1,AC-9,HE
1,AC-9,LI
4,AC-9,SU
2,B-13,BI
5,B-13,WP
1,B-14,BA
1,B-14,BE
1,B-14,EL
1,B-14,HE
2,B-14,MA
1,B-14,WP
1,B-15,HE
2,B-15,RP
1,B-15,WO
1,B-15,WP
1,C-12,BI
1,C-12,EL
1,C-12,MA
1,C-12,RP
2,C-12,WP
1,C-13,CE
2,C-13,HE
1,C-13,RP
1,C-13,WA
4,C-13,WP
3,C-14,BA
2,C-14,BE
1,C-14,EL
1,C-14,LI
1,C-14,MA
5,C-14,RP
1,C-14,WP
2,C-15,BE
2,C-15,JP
1,C-15,RP
1,C-15,WP
1,D-12,BA
1,D-12,BE
1,D-12,EL
1,D-12,HE
1,D-12,LI
1,D-12,RO
2,D-12,RP
1,D-12,WP
1,D-13,BI
3,D-13,RP
3,D-13,WP
1,D-14,BE
4,D-14,EL
1,D-14,HE
3,D-14,LI
1,D-14,WP
4,D-15,RP
3,E-11,RP
7,E-11,WP
1,E-12,RP
1,E-12,WP
2,E-13,BA
1,E-13,CE
4,E-13,EL
1,E-13,HE
1,E-13,LI
2,E-13,MA
1,E-13,WA
2,E-13,WP
2,E-14,BE
4,E-14,HE
1,E-14,MA
2,E-14,RP
1,E-15,BE
1,E-15,RP
3,E-15,WP
5,F-11,BE
1,F-11,SU
1,F-11,TA
4,F-11,WP
2,F-12,BE
7,F-12,RP
1,F-12,WO
3,F-12,WP
1,F-13,AS
1,F-13,RP
2,F-13,WO
1,F-13,WP
1,F-14,AH
2,F-14,BA
1,F-14,BI
